i,filter,type,Vega_ZP,ST_ZP,AB_ZP,mag(Vega/ST),mag(Vega/AB)
1,WFC3_UVIS_F200LP,Vega,0.0252260444,0.0314787130,0.0382280819,0.2404195305,0.4513333817
2,WFC3_UVIS_F218W,Vega,0.0001386569,0.0001090406,0.0006582670,-0.2608830840,1.6911514319
3,WFC3_UVIS_F225W,Vega,0.0004000273,0.0003467515,0.0018465095,-0.1551782447,1.6606547007
4,WFC3_UVIS_F275W,Vega,0.0005021666,0.0004891992,0.0019966936,-0.0284052147,1.4986590552
5,WFC3_UVIS_F280N,Vega,0.0000278709,0.0000279309,0.0001042940,0.0023356760,1.4327702611
6,WFC3_UVIS_F300X,Vega,0.0011012011,0.0010827647,0.0040752999,-0.0183312914,1.4207323999
7,WFC3_UVIS_F336W,Vega,0.0010614159,0.0011876963,0.0031636590,0.1220494905,1.1857602068
8,WFC3_UVIS_F343N,Vega,0.0005493994,0.0006269880,0.0015927882,0.1434277110,1.1556747351
9,WFC3_UVIS_F350LP,Vega,0.0226362983,0.0299283127,0.0261523935,0.3031920595,0.1567650844
10,WFC3_UVIS_F373N,Vega,0.0001138173,0.0001204836,0.0002595918,0.0617986169,0.8952067833
11,WFC3_UVIS_F390M,Vega,0.0011399743,0.0006328789,0.0012491603,-0.6389362015,0.0993077386
12,WFC3_UVIS_F390W,Vega,0.0050425600,0.0031605602,0.0061522491,-0.5072175219,0.2159570943
13,WFC3_UVIS_F395N,Vega,0.0005197037,0.0002659967,0.0005097542,-0.7271988122,-0.0209874944
14,WFC3_UVIS_F410M,Vega,0.0014149029,0.0006902525,0.0012256306,-0.7792965696,-0.1559176015
15,WFC3_UVIS_F438W,Vega,0.0043151281,0.0023421836,0.0037512366,-0.6634318845,-0.1520480911
16,WFC3_UVIS_F467M,Vega,0.0015366406,0.0009745978,0.0013325353,-0.4943671230,-0.1547338794
17,WFC3_UVIS_F469N,Vega,0.0002669592,0.0001693244,0.0002309649,-0.4943132719,-0.1572473995
18,WFC3_UVIS_F475W,Vega,0.0090567065,0.0062952565,0.0082819625,-0.3948921673,-0.0970925824
19,WFC3_UVIS_F475X,Vega,0.0133113309,0.0103605319,0.0127203277,-0.2720985690,-0.0493079461
20,WFC3_UVIS_F487N,Vega,0.0002851381,0.0002668646,0.0003371385,-0.0719107740,0.1818826197
21,WFC3_UVIS_F502N,Vega,0.0003965695,0.0003064340,0.0003660537,-0.2799559555,-0.0869364744
22,WFC3_UVIS_F547M,Vega,0.0033948383,0.0033591996,0.0033936785,-0.0114582037,-0.0003710109
23,WFC3_UVIS_F555W,Vega,0.0092478149,0.0084983721,0.0090421326,-0.0917584571,-0.0244206315
24,WFC3_UVIS_F600LP,Vega,0.0071312628,0.0177971221,0.0096116806,0.9929583527,0.3240822309
